name,stargazers,primaryLanguage,issues
ohmyzsh,{'totalCount': 109274},{'name': 'Shell'},"{'totalCount': 3316, 'nodes': [{'id': 'MDU6SXNzdWU1Mjc1Mw=='}, {'id': 'MDU6SXNzdWU1MjkwMg=='}, {'id': 'MDU6SXNzdWU1MzYyOQ=='}, {'id': 'MDU6SXNzdWU1MzY0OA=='}, {'id': 'MDU6SXNzdWU2MDYyNw=='}, {'id': 'MDU6SXNzdWU2MDYyOA=='}, {'id': 'MDU6SXNzdWU2MDY3Nw=='}, {'id': 'MDU6SXNzdWU2MzYyNw=='}, {'id': 'MDU6SXNzdWU2MzcxNA=='}, {'id': 'MDU6SXNzdWU2MzgzNQ=='}]}"
developer-roadmap,{'totalCount': 107162},,"{'totalCount': 418, 'nodes': [{'id': 'MDU6SXNzdWUyMTQ1NDE1NTg='}, {'id': 'MDU6SXNzdWUyMTQ1NDE3OTA='}, {'id': 'MDU6SXNzdWUyMTQ1NjQyMjE='}, {'id': 'MDU6SXNzdWUyMTQ2NzY3MTg='}, {'id': 'MDU6SXNzdWUyMTQ2Nzk4MzM='}, {'id': 'MDU6SXNzdWUyMTQ4MjMzNTU='}, {'id': 'MDU6SXNzdWUyMTQ4NzEyMjM='}, {'id': 'MDU6SXNzdWUyMTQ4NzE3NzY='}, {'id': 'MDU6SXNzdWUyMTQ4OTgyNjU='}, {'id': 'MDU6SXNzdWUyMTQ5MTEwODY='}]}"
gitignore,{'totalCount': 101038},,"{'totalCount': 0, 'nodes': []}"
CS-Notes,{'totalCount': 100145},{'name': 'Java'},"{'totalCount': 397, 'nodes': [{'id': 'MDU6SXNzdWUyOTk0MzUwNTg='}, {'id': 'MDU6SXNzdWUyOTk5MjcyMjI='}, {'id': 'MDU6SXNzdWUyOTk5OTU4MzI='}, {'id': 'MDU6SXNzdWUzMDAyODcxMDQ='}, {'id': 'MDU6SXNzdWUzMDA5ODg3NzQ='}, {'id': 'MDU6SXNzdWUzMDEzMzA3MzA='}, {'id': 'MDU6SXNzdWUzMDEzOTI3MDI='}, {'id': 'MDU6SXNzdWUzMDE2NDQyMzM='}, {'id': 'MDU6SXNzdWUzMDI2NjE0NDI='}, {'id': 'MDU6SXNzdWUzMDMzNzAzNTA='}]}"
vscode,{'totalCount': 95831},{'name': 'TypeScript'},"{'totalCount': 88643, 'nodes': [{'id': 'MDU6SXNzdWUxMTEyOTM4NzY='}, {'id': 'MDU6SXNzdWUxMTY3OTExMDE='}, {'id': 'MDU6SXNzdWUxMTY4MDMwNzE='}, {'id': 'MDU6SXNzdWUxMTY4MDUwMTA='}, {'id': 'MDU6SXNzdWUxMTY4MDU1NTM='}, {'id': 'MDU6SXNzdWUxMTY4MDU5Nzc='}, {'id': 'MDU6SXNzdWUxMTY5MDEwNjc='}, {'id': 'MDU6SXNzdWUxMTY5MjMxNzU='}, {'id': 'MDU6SXNzdWUxMTY5ODk1MTc='}, {'id': 'MDU6SXNzdWUxMTcwMTA3Mzc='}]}"
javascript,{'totalCount': 95125},{'name': 'JavaScript'},"{'totalCount': 980, 'nodes': [{'id': 'MDU6SXNzdWU4MDQ3MjMy'}, {'id': 'MDU6SXNzdWU4MDQ4NDk5'}, {'id': 'MDU6SXNzdWU4MDQ4NTI2'}, {'id': 'MDU6SXNzdWU4MTE5MDE1'}, {'id': 'MDU6SXNzdWU4MTIzOTky'}, {'id': 'MDU6SXNzdWU4MTgxOTc1'}, {'id': 'MDU6SXNzdWU4MTgzMzQw'}, {'id': 'MDU6SXNzdWU4MjA4Mjgz'}, {'id': 'MDU6SXNzdWU4MjIwMjU1'}, {'id': 'MDU6SXNzdWU4MjI2Mzgw'}]}"
system-design-primer,{'totalCount': 93709},{'name': 'Python'},"{'totalCount': 116, 'nodes': [{'id': 'MDU6SXNzdWUyMTI4OTA3OTk='}, {'id': 'MDU6SXNzdWUyMTI4OTUzMTU='}, {'id': 'MDU6SXNzdWUyMTI5MTc0MDU='}, {'id': 'MDU6SXNzdWUyMTI5MTk0MjU='}, {'id': 'MDU6SXNzdWUyMTI5MjQ2NzY='}, {'id': 'MDU6SXNzdWUyMTI5MzIxOTQ='}, {'id': 'MDU6SXNzdWUyMTMyNDEyNjI='}, {'id': 'MDU6SXNzdWUyMTMyNzY2NzA='}, {'id': 'MDU6SXNzdWUyMTM0NTY4NDU='}, {'id': 'MDU6SXNzdWUyMTU2MzIxMjI='}]}"
flutter,{'totalCount': 91876},{'name': 'Dart'},"{'totalCount': 36452, 'nodes': [{'id': 'MDU6SXNzdWU3MjA2NDMxMg=='}, {'id': 'MDU6SXNzdWU3MjIzODEyMg=='}, {'id': 'MDU6SXNzdWU3MjI2MzE4NQ=='}, {'id': 'MDU6SXNzdWU3MjQ5NjIzMA=='}, {'id': 'MDU6SXNzdWU3MjY3NTI2Mg=='}, {'id': 'MDU6SXNzdWU3Mjk2NTMyNg=='}, {'id': 'MDU6SXNzdWU3MzcyMTMzMw=='}, {'id': 'MDU6SXNzdWU3NzczMzQxNA=='}, {'id': 'MDU6SXNzdWU3Nzc0NzA3OQ=='}, {'id': 'MDU6SXNzdWU3Nzc0Nzg3OA=='}]}"
d3,{'totalCount': 91325},{'name': 'JavaScript'},"{'totalCount': 2034, 'nodes': [{'id': 'MDU6SXNzdWUzNDAwOTM='}, {'id': 'MDU6SXNzdWUzNDAwOTU='}, {'id': 'MDU6SXNzdWUzNDAwOTg='}, {'id': 'MDU6SXNzdWUzNDAwOTk='}, {'id': 'MDU6SXNzdWUzNDAxMDA='}, {'id': 'MDU6SXNzdWUzNDAxMDY='}, {'id': 'MDU6SXNzdWUzNDAxMTY='}, {'id': 'MDU6SXNzdWUzNDAxMTc='}, {'id': 'MDU6SXNzdWUzNDE2MjM='}, {'id': 'MDU6SXNzdWUzNDE2MjQ='}]}"
linux,{'totalCount': 90585},{'name': 'C'},"{'totalCount': 0, 'nodes': []}"
